telepulesnev;kshk5;jogallas;terulet;lakonepesseg;lakasszam;nepsuruseg
Kunpeszér;31918;község;7755;692;304;8,92
Kunszállás;31893;község;2085;1654;749;79,33
Kunszentmárton;32504;város;14365;8202;3988;57,10
Kunszentmiklós;28130;város;17211;8270;3545;48,05
Kunsziget;31626;község;1787;1233;458;69,00
Kup;26541;község;2478;441;176;17,80
Kupa;18722;község;784;166;77;21,17
Kurd;20507;község;3119;1051;481;33,70
Kurityán;11819;község;754;1537;602;203,85
Kustánszeg;19479;község;1142;438;216;38,35
Kutas;28857;község;3655;1475;522;40,36
Kutasó;19451;község;605;102;75;16,86
Kübekháza;14410;község;2732;1402;583;51,32
Külsõsárd;32221;község;152;66;36;43,42
Külsõvat;16142;község;1931;851;256;44,07
Küngös;04066;község;948;487;181;51,37
Lábatlan;15255;város;2637;4803;2081;182,14
Lábod;28291;község;6651;1878;746;28,24
Lácacséke;20844;község;1625;279;133;17,17
Lad;16258;község;2235;561;274;25,10
Ladánybene;05786;község;4074;1612;727;39,57
Ládbesenyõ;26231;község;1040;287;123;27,60
Lajoskomárom;07506;nagyközség;7567;2183;875;28,85
Lajosmizse;17677;város;16466;11363;4860;69,01
Lak;15857;község;1976;671;206;33,96
Lakhegy;33792;község;860;447;206;51,98
Lakitelek;06202;nagyközség;5466;4476;2045;81,89
Lakócsa;11040;község;2532;525;249;20,73
Lánycsók;33330;község;2540;2366;866;93,15
Lápafõ;14605;község;931;152;85;16,33
Lapáncsa;06479;község;436;191;75;43,81
Laskod;21290;község;1359;937;402;68,95
Lasztonya;03434;község;877;76;56;8,67
Látrány;14863;község;2231;1310;586;58,72
Lázi;04376;község;1679;592;235;35,26
Leányfalu;30809;nagyközség;1537;3636;1409;236,56
Leányvár;25487;község;726;1762;635;242,70
Lébény;33668;város;8139;3276;1248;40,25
Legénd;30395;község;1841;439;250;23,85
Legyesbénye;11660;község;2031;1420;626;69,92
Léh;03531;község;845;388;150;45,92
Lénárddaróc;07038;község;516;239;158;46,32
Lendvadedes;27483;község;402;24;20;5,97
Lendvajakabfa;11475;község;618;21;45;3,40
Lengyel;24411;község;2003;506;240;25,26
Lengyeltóti;26675;város;3957;2920;1198;73,79
Lenti;12575;város;7380;7615;3534;103,18
Lepsény;07269;nagyközség;3908;2976;1213;76,15
Lesencefalu;17570;község;718;306;154;42,62
Lesenceistvánd;21962;község;1738;950;388;54,66
Lesencetomaj;17871;község;2408;1109;383;46,05
Létavértes;05768;város;11661;7096;2666;60,85
Letenye;12122;város;4174;4041;1593;96,81
Letkés;22682;község;2455;1111;433;45,25
Levél;19239;község;2492;1865;711;74,84
Levelek;30979;nagyközség;2572;2960;957;115,09
Libickozma;32355;község;2297;27;47;1,18
Lickóvadamos;03054;község;669;179;125;26,76
Liget;17604;község;1207;369;142;30,57
Ligetfalva;28200;község;473;51;33;10,78
Lipót;16221;község;1609;725;270;45,06
Lippó;22974;község;1453;461;206;31,73
Liptód;10038;község;1499;184;132;12,27
Lispeszentadorján;10889;község;914;259;171;28,34
Liszó;25025;község;2591;376;167;14,51
Litér;04552;község;1283;2162;747;168,51
Litka;28219;község;666;37;46;5,56
Litke;04871;község;1816;863;340;47,52
Lócs;29081;község;513;122;103;23,78
Lókút;18856;község;1811;404;203;22,31
Lónya;26091;község;3548;1139;394;32,10
Lórév;09140;község;988;294;129;29,76
Lothárd;31389;község;1046;206;110;19,69
Lovas;05564;község;595;449;182;75,46
Lovasberény;19114;község;6062;2570;1145;42,40
Lovászhetény;24624;község;895;301;113;33,63
Lovászi;28167;község;967;1193;584;123,37
Lovászpatona;05087;község;4990;1085;512;21,74
Lõkösháza;21209;község;5202;1697;825;32,62
Lõrinci;30401;város;2353;5387;2324;228,94
Lövõ;31194;község;1747;1420;554;81,28
Lövõpetri;07995;község;926;480;220;51,84
Lucfalva;20190;község;1410;599;226;42,48
Ludányhalászi;02778;község;2113;1404;492;66,45
Ludas;15796;község;1079;731;378;67,75
Lukácsháza;14021;község;936;1093;389;116,77
Lulla;10010;község;1039;187;93;18,00
Lúzsok;18865;község;652;226;71;34,66
Mád;03902;község;3186;2131;1142;66,89
Madaras;23357;község;4931;2753;1469;55,83
Madocsa;29337;község;4333;1881;832;43,41
Maglóca;26444;község;577;96;52;16,64
Maglód;10922;város;2238;12226;4483;546,29
Mágocs;06813;város;4254;2273;949;53,43
Magosliget;29984;község;517;335;89;64,80
Magy;16629;község;2070;933;320;45,07
Magyaralmás;27678;község;2242;1533;605;68,38
Magyaratád;10427;község;1882;758;323;40,28
Magyarbánhegyes;27906;község;3656;2238;1101;61,21
Magyarbóly;25177;község;1722;916;369;53,19
Magyarcsanád;05962;község;4802;1392;707;28,99
Magyardombegyház;11536;község;765;196;161;25,62
Magyaregregy;29753;község;2681;725;328;27,04
Magyaregres;25371;község;1440;567;215;39,38
Magyarföld;08916;község;889;35;29;3,94
Magyargéc;26967;község;1235;866;295;70,12
Magyargencs;26374;község;3801;488;268;12,84
Magyarhertelend;05430;község;1616;601;264;37,19
Magyarhomorog;03683;község;3957;863;438;21,81
Magyarkeresztúr;13912;község;1674;417;215;24,91
Magyarkeszi;06017;község;3816;1209;614;31,68
Magyarlak;03221;község;762;768;304;100,79
Magyarlukafa;23542;község;1297;88;49;6,78
Magyarmecske;05412;község;1195;310;112;25,94
Magyarnádalja;27289;község;385;216;88;56,10
Magyarnándor;32407;község;1867;1042;465;55,81
Magyarpolány;20437;község;2697;1140;517;42,27
Magyarsarlós;27067;község;803;250;109;31,13
Magyarszecsõd;17288;község;1126;426;188;37,83
Magyarszék;22600;község;1386;983;385;70,92
Magyarszentmiklós;02909;község;419;234;102;55,85
Magyarszerdahely;13064;község;1622;509;164;31,38
Magyarszombatfa;25423;község;1594;257;134;16,12
Magyartelek;04385;község;684;193;71;28,22
Majosháza;10755;község;1142;1574;620;137,83
Majs;27863;község;3206;918;393;28,63
Makád;04394;község;3177;1150;533;36,20
Makkoshotyka;19600;község;1041;839;291;80,60
Maklár;27696;község;2801;2338;975;83,47
Makó;07357;város;22923;22546;11256;98,36
Malomsok;03610;község;2574;479;241;18,61
Mályi;27395;község;1128;3894;1513;345,21
Mályinka;14915;község;2421;424;250;17,51
Mánd;02088;község;517;288;107;55,71
Mándok;17826;város;2891;4023;1459;139,16
Mánfa;33923;község;2770;704;320;25,42
Mány;23490;község;4472;2443;860;54,63
Maráza;29920;község;970;181;105;18,66
Marcalgergelyi;29294;község;776;353;174;45,49
Marcali;18500;város;10440;11216;5173;107,43
Marcaltõ;22220;község;2209;730;334;33,05
Márfa;09450;község;409;177;75;43,28
Máriahalom;22637;község;1085;573;283;52,81
Máriakálnok;12283;község;1548;1885;632;121,77
Máriakéménd;14483;község;1578;481;213;30,48
Márianosztra;04570;község;2026;821;383;40,52
Máriapócs;19655;város;2209;2130;720;96,42
Markaz;16540;község;2561;1752;810;68,41
Márkháza;14641;község;631;259;113;41,05
Márkó;32212;község;3441;1283;447;37,29
Markóc;16443;község;579;53;30;9,15
Markotabödöge;06770;község;1629;478;237;29,34
Maróc;02103;község;516;69;70;13,37
Marócsa;15219;község;1138;82;49;7,21
Márok;20659;község;1593;411;182;25,80
Márokföld;31981;község;744;39;40;5,24
Márokpapi;33224;község;2118;571;222;26,96
Maroslele;10515;község;4656;2037;945;43,75
Mártély;25733;község;3645;1298;575;35,61
Martfû;02626;város;2308;6169;2930;267,29
Martonfa;02228;község;569;211;84;37,08
Martonvásár;04659;város;3125;5574;2109;178,37
Martonyi;02024;község;1757;382;185;21,74
Mátészalka;18874;város;4140;16532;7114;399,32
Mátételke;27809;község;2793;489;281;17,51
Mátraballa;19965;község;2636;735;429;27,88
Mátraderecske;14872;község;1399;1906;998;136,24
Mátramindszent;20075;község;1673;797;452;47,64
Mátranovák;19372;község;2697;1650;1054;61,18
Mátraszele;24332;község;1697;919;468;54,15
Mátraszentimre;29045;község;2129;416;287;19,54
Mátraszõlõs;04330;község;2917;1495;670;51,25
