telepulesnev;kshk5;jogallas;terulet;lakonepesseg;lakasszam;nepsuruseg
Sándorfalva;31705;város;5577;7850;3284;140,76
Sántos;31121;község;1138;521;186;45,78
Sáp;26116;község;1922;900;377;46,83
Sáránd;25007;község;2268;2247;856;99,07
Sárazsadány;20516;község;1531;229;177;14,96
Sárbogárd;23694;város;18933;11962;5055;63,18
Sáregres;02723;község;2616;728;337;27,83
Sárfimizdó;09788;község;746;78;66;10,46
Sárhida;08101;község;509;768;278;150,88
Sárisáp;26903;község;1422;2669;1099;187,69
Sarkad;28565;város;12557;9731;4342;77,49
Sarkadkeresztúr;25168;község;3530;1477;770;41,84
Sárkeresztes;31802;község;2327;1500;569;64,46
Sárkeresztúr;25344;község;4675;2495;766;53,37
Sárkeszi;02699;község;1479;600;216;40,57
Sármellék;14906;község;3537;1811;780;51,20
Sárok;20862;község;462;126;64;27,27
Sárosd;25140;nagyközség;4812;3153;1140;65,52
Sárospatak;27474;város;13909;11886;5279;85,46
Sárpilis;04747;község;2170;686;209;31,61
Sárrétudvari;23940;nagyközség;5442;2911;1206;53,49
Sarród;30021;község;4006;1057;454;26,39
Sárszentágota;31538;község;4550;1332;523;29,27
Sárszentlõrinc;20817;község;4669;997;506;21,35
Sárszentmihály;11776;község;3740;2959;1117;79,12
Sarud;07180;község;5162;1136;574;22,01
Sárvár;21306;város;6465;14887;6447;230,27
Sásd;32160;város;1488;3000;1366;201,61
Sáska;13772;község;3748;279;127;7,44
Sáta;02875;község;1651;1100;514;66,63
Sátoraljaújhely;05120;város;7346;14469;6711;196,96
Sátorhely;33482;község;1760;589;241;33,47
Sávoly;02051;község;2684;486;227;18,11
Sé;10278;község;603;1311;472;217,41
Segesd;27368;község;7309;2426;886;33,19
Selyeb;25380;község;1664;443;165;26,62
Sellye;28741;város;2518;2495;1110;99,09
Semjén;23755;község;784;494;168;63,01
Semjénháza;30997;község;470;569;219;121,06
Sénye;14085;község;304;26;30;8,55
Sényõ;04491;község;1830;1342;481;73,33
Seregélyes;20206;nagyközség;7819;4346;1619;55,58
Serényfalva;32531;község;1964;946;363;48,17
Sérsekszõlõs;32133;község;665;139;59;20,90
Sikátor;08606;község;1373;304;143;22,14
Siklós;05519;város;5092;9080;4048;178,32
Siklósbodony;23205;község;433;143;45;33,03
Siklósnagyfalu;08800;község;909;426;124;46,86
Sima;23418;község;488;28;21;5,74
Simaság;26763;község;1013;534;238;52,71
Simonfa;32780;község;1100;349;142;31,73
Simontornya;20783;város;3383;3955;1851;116,91
Sióagárd;25645;község;2440;1197;531;49,06
Siófok;17631;város;12466;25468;13829;204,30
Siójut;23092;község;1073;617;255;57,50
Sirok;08527;község;6339;1757;947;27,72
Sitke;30748;község;2720;691;294;25,40
Sobor;24208;község;1672;267;156;15,97
Sokorópátka;12627;község;1686;1129;476;66,96
Solt;29115;város;13267;6245;2908;47,07
Soltszentimre;18218;község;4449;1259;644;28,30
Soltvadkert;19983;város;10886;7372;3338;67,72
Sóly;03601;község;1028;490;177;47,67
Solymár;07384;nagyközség;1786;10273;3782;575,20
Som;04127;község;2335;650;267;27,84
Somberek;23472;község;3142;1321;517;42,04
Somlójenõ;05157;község;815;258;138;31,66
Somlószõlõs;25779;község;1946;658;308;33,81
Somlóvásárhely;26569;község;2321;1060;455;45,67
Somlóvecse;14243;község;493;51;53;10,34
Somodor;13824;község;1991;364;177;18,28
Somogyacsa;30580;község;2446;166;167;6,79
Somogyapáti;23807;község;1070;477;203;44,58
Somogyaracs;05500;község;770;190;81;24,68
Somogyaszaló;31219;község;2212;742;293;33,54
Somogybabod;32470;község;1058;446;230;42,16
Somogybükkösd;25043;község;1180;63;73;5,34
Somogycsicsó;11484;község;1238;145;77;11,71
Somogydöröcske;15981;község;1083;133;99;12,28
Somogyegres;20057;község;1081;163;124;15,08
Somogyfajsz;18078;község;1826;546;214;29,90
Somogygeszti;20330;község;2171;414;203;19,07
Somogyhárságy;29142;község;3097;398;212;12,85
Somogyhatvan;25070;község;1352;361;133;26,70
Somogyjád;28963;község;2506;1547;580;61,73
Somogymeggyes;12876;község;1565;477;224;30,48
Somogysámson;15626;község;2177;712;279;32,71
Somogysárd;28723;község;3636;1175;498;32,32
Somogysimonyi;27535;község;1582;90;47;5,69
Somogyszentpál;06600;község;2896;789;364;27,24
Somogyszil;03416;község;3846;728;350;18,93
Somogyszob;18546;község;4008;1509;637;37,65
Somogytúr;32601;község;3530;437;207;12,38
Somogyudvarhely;04853;község;4042;967;437;23,92
Somogyvámos;21856;község;2502;744;319;29,74
Somogyvár;19442;község;5299;1684;728;31,78
Somogyviszló;21281;község;1263;236;113;18,69
Somogyzsitfa;04835;község;2722;583;305;21,42
Somoskõújfalu;01526;község;519;2104;1091;405,39
Sonkád;23889;község;1981;803;244;40,54
Soponya;33321;nagyközség;4996;1800;680;36,03
Sopron;08518;megyeijogúváros;16904;62246;27802;368,23
Sopronhorpács;29090;község;2069;833;312;40,26
Sopronkövesd;25724;község;2681;1303;483;48,60
Sopronnémeti;02617;község;710;300;122;42,25
Sorkifalud;07171;község;1737;689;264;39,67
Sorkikápolna;27960;község;886;216;106;24,38
Sormás;06567;község;1637;836;322;51,07
Sorokpolány;29692;község;1329;786;280;59,14
Sóshartyán;14881;község;1214;1006;303;82,87
Sóskút;06840;község;2489;3228;1235;129,69
Sóstófalva;13268;község;728;232;112;31,87
Sósvertike;31714;község;660;162;62;24,55
Sótony;22983;község;1493;651;283;43,60
Söjtör;19080;község;3616;1396;628;38,61
Söpte;24800;község;1398;713;275;51,00
Söréd;02893;község;625;514;211;82,24
Sukoró;14951;község;1627;1511;633;92,87
Sumony;02547;község;2021;414;168;20,48
Súr;31990;község;3736;1193;505;31,93
Surd;02404;község;2194;585;237;26,66
Sükösd;21245;nagyközség;9418;3487;1551;37,02
Sülysáp;21713;város;4719;8401;3024;178,03
Sümeg;25593;város;6413;6096;2599;95,06
Sümegcsehi;21397;község;1743;626;249;35,92
Sümegprága;05388;község;579;576;248;99,48
Süttõ;08688;község;3447;2045;794;59,33
Szabadbattyán;28705;nagyközség;3366;4516;1681;134,17
Szabadegyháza;13259;község;4164;2059;786;49,45
Szabadhídvég;18740;község;4410;819;397;18,57
Szabadi;14854;község;823;285;125;34,63
Szabadkígyós;31325;község;4556;2432;1102;53,38
Szabadszállás;25061;város;16462;6135;3002;37,27
Szabadszentkirály;15079;község;1269;706;292;55,63
Szabás;28574;község;1811;601;185;33,19
Szabolcs;19169;község;588;417;188;70,92
Szabolcsbáka;22053;község;1984;1149;451;57,91
Szabolcsveresmart;03586;község;2295;1666;562;72,59
Szada;21458;nagyközség;1672;5225;1756;312,50
Szágy;27508;község;940;130;61;13,83
Szajk;08475;község;1136;814;327;71,65
Szajla;16063;község;870;530;319;60,92
Szajol;05874;község;3697;3733;1571;100,97
Szakácsi;32258;község;863;202;66;23,41
Szakadát;15316;község;1070;200;136;18,69
Szakáld;03805;község;1140;459;227;40,26
Szakály;04464;község;4102;1337;605;32,59
Szakcs;10083;község;5579;796;457;14,27
Szakmár;19530;község;7464;1212;596;16,24
Szaknyér;16504;község;293;52;45;17,75
Szakoly;04774;község;4144;2649;996;63,92
Szakony;11369;község;1350;407;235;30,15
Szakonyfalu;20932;község;1119;349;135;31,19
Szákszend;33516;község;3593;1422;648;39,58
Szalafõ;10223;község;2737;212;152;7,75
Szalánta;22257;község;1708;1136;448;66,51
Szalapa;20543;község;452;184;90;40,71
Szalaszend;31015;község;1822;1012;370;55,54
Szalatnak;09007;község;1028;287;171;27,92
Szálka;14711;község;1708;572;256;33,49
Szalkszentmárton;19947;község;8208;2758;1284;33,60
Szalmatercs;19798;község;758;417;189;55,01
Szalonna;16753;község;2008;1105;372;55,03
Szamosangyalos;18005;község;804;966;199;120,15
Szamosbecs;22017;község;671;358;166;53,35
Szamoskér;16300;község;971;412;184;42,43
Szamossályi;10436;község;1157;716;322;61,88
Szamostatárfalva;30085;község;450;321;126;71,33
Szamosújlak;31273;község;527;343;195;65,09
Szamosszeg;13046;község;3530;1867;721;52,89
Szanda;13754;község;2149;632;416;29,41
Szank;11794;község;7483;2350;1157;31,40
Szántód;34236;község;791;581;367;73,45
Szany;08536;nagyközség;3414;2038;971;59,70
Szápár;16489;község;709;463;196;65,30
Szaporca;34032;község;965;235;98;24,35
Szár;19549;község;2263;1676;599;74,06
Szárász;07366;község;598;30;28;5,02
Szárazd;18263;község;779;238;132;30,55
Szárföld;15714;község;1711;960;418;56,11
Szárliget;33491;község;1456;2431;837;166,96
Szarvas;23870;város;16157;15758;7719;97,53
Szarvasgede;10199;község;999;382;216;38,24
Szarvaskend;17729;község;1034;186;112;17,99
Szarvaskõ;03382;község;1259;328;169;26,05
Szászberek;05777;község;3922;1006;418;25,65
Szászfa;08147;község;1213;105;82;8,66
Szászvár;33765;nagyközség;2117;2282;1023;107,79
Szatmárcseke;31237;község;3629;1609;588;44,34
Szátok;15325;község;895;616;167;68,83
Szatta;02440;község;601;74;46;12,31
Szatymaz;12007;község;5372;4743;2300;88,29
Szava;31060;község;1264;321;121;25,40
Százhalombatta;17312;város;2806;18378;7624;654,95
Szebény;03018;község;1437;296;193;20,60
Szécsénke;23047;község;978;200;128;20,45
Szécsény;06628;város;4567;5861;2540;128,33
Szécsényfelfalu;33011;község;822;381;223;46,35
Szécsisziget;11554;község;620;201;105;32,42
Szederkény;05607;község;1433;1675;649;116,89
Szedres;16814;község;4631;2184;787;47,16
Szeged;33367;megyeszékhely,megyeijogúváros;28100;161137;80942;573,44
Szegerdõ;18607;község;546;209;100;38,28
Szeghalom;21883;város;21713;8837;3968;40,70
Szegi;33817;község;905;268;150;29,61
Szegilong;31510;község;694;210;118;30,26
Szegvár;32489;nagyközség;8622;4189;2099;48,59
Székely;31088;község;1608;1043;363;64,86
Székelyszabar;16771;község;1548;543;248;35,08
Székesfehérvár;14827;megyeszékhely,megyeijogúváros;17089;97617;45145;571,23
Székkutas;12265;község;12399;1981;1057;15,98
Szekszárd;22761;megyeszékhely,megyeijogúváros;9628;32528;15224;337,85
Szeleste;33172;község;2075;659;279;31,76
Szelevény;20428;község;4539;1061;595;23,38
Szellõ;16984;község;596;139;73;23,32
Szemely;09308;község;947;417;175;44,03
Szemenye;27997;község;1180;351;187;29,75
Szemere;09830;község;2630;421;142;16,01
Szendehely;04507;község;1004;1612;634;160,56
Szendrõ;08077;város;5356;4272;1418;79,76
Szendrõlád;27456;község;1770;2110;440;119,21
Szenna;15103;község;2698;760;256;28,17
Szenta;11509;község;6447;375;164;5,82
Szentantalfa;03568;község;661;451;140;68,23
Szentbalázs;25706;község;1214;294;111;24,22
Szentbékkálla;07092;község;1070;182;111;17,01
Szentborbás;32841;község;747;97;63;12,99
Szentdénes;32009;község;1215;274;133;22,55
Szentdomonkos;13231;község;1840;450;212;24,46
Szente;09043;község;753;319;156;42,36
Szentegát;33613;község;2778;344;164;12,38
Szentendre;15440;város;4382;26011;10403;593,59
Szentes;14456;város;35325;27266;12708;77,19
Szentgál;07922;község;9502;2746;994;28,90
Szentgáloskér;12973;község;2725;495;235;18,17
Szentgotthárd;31583;város;6773;8862;3446;130,84
Szentgyörgyvár;23126;község;1165;303;164;26,01
Szentgyörgyvölgy;18652;község;2958;395;228;13,35
Szentimrefalva;10065;község;1087;199;98;18,31
Szentistván;22169;nagyközség;5107;2375;1141;46,50
Szentistvánbaksa;08484;község;656;274;134;41,77
Szentjakabfa;11545;község;576;113;46;19,62
Szentkatalin;09803;község;1331;89;72;6,69
Szentkirály;21120;község;10189;1867;851;18,32
Szentkirályszabadja;16267;község;2238;1885;682;84,23
Szentkozmadombja;03124;község;508;64;72;12,60
Szentlászló;16355;község;1406;763;288;54,27
Szentliszló;08615;község;689;254;136;36,87
Szentlõrinc;15866;város;2781;6311;2552;226,93
Szentlõrinckáta;07542;község;2015;1854;850;92,01
Szentmargitfalva;14225;község;312;67;65;21,47
Szentmártonkáta;28653;nagyközség;5218;4821;1946;92,39
Szentpéterfa;21254;község;3124;986;379;31,56
Szentpéterfölde;30067;község;1199;115;83;9,59
Szentpéterszeg;19099;község;2551;1104;474;43,28
Szentpéterúr;11165;község;1596;982;423;61,53
Szenyér;30146;község;2019;304;134;15,06
Szepetnek;07700;község;3039;1543;550;50,77
Szerecseny;03887;község;1238;754;366;60,90
Szeremle;28820;község;3406;1361;620;39,96
Szerencs;30739;város;3668;8841;3813;241,03
Szerep;33437;község;5604;1577;523;28,14
Szergény;27793;község;1561;287;168;18,39
Szigetbecse;26259;község;1712;1278;540;74,65
Szigetcsép;07870;község;1820;2313;963;127,09
Szigethalom;13277;város;912;17495;6193;1918,31
Szigetmonostor;26213;község;2351;2411;983;102,55
Szigetszentmárton;15185;község;1073;2164;923;201,68
Szigetszentmiklós;28954;város;4565;37564;14891;822,87
Szigetújfalu;22114;község;1083;1933;881;178,49
Szigetvár;26578;város;3951;10572;4447;267,58
Szigliget;24891;község;3426;805;405;23,50
Szihalom;11013;község;3417;1914;927;56,01
Szijártóháza;26161;község;378;23;30;6,08
Szikszó;21351;város;3623;5289;2147;145,98
Szil;19266;község;3102;1320;614;42,55
Szilágy;19831;község;1155;233;133;20,17
Szilaspogony;07959;község;1440;286;178;19,86
Szilsárkány;03364;község;1670;690;306;41,32
Szilvágy;17853;község;2427;179;93;7,38
Szilvás;24712;község;604;138;55;22,85
Szilvásvárad;05643;község;3782;1606;758;42,46
Szilvásszentmárton;32461;község;708;201;67;28,39
Szin;20871;község;1810;826;252;45,64
Szinpetri;11493;község;971;221;99;22,76
Szirák;21634;község;1909;1197;451;62,70
Szirmabesenyõ;09496;nagyközség;1575;4117;1687;261,40
Szob;24916;város;1797;2587;1097;143,96
Szokolya;06947;község;5905;1842;746;31,19
Szólád;15194;község;1998;484;260;24,22
Szolnok;27854;megyeszékhely,megyeijogúváros;18724;71765;34724;383,28
Szombathely;03009;megyeszékhely,megyeijogúváros;9750;78025;34654;800,26
Szomód;22619;község;2836;1998;766;70,45
Szomolya;18892;község;2269;1583;708;69,77
Szomor;21421;község;1320;1055;398;79,92
Szorgalmatos;34388;község;844;1092;338;129,38
Szorosad;05193;község;648;94;56;14,51
Szõc;16692;község;755;441;115;58,41
Szõce;19521;község;1871;282;221;15,07
Szõd;12690;község;1353;3617;1310;267,33
Szõdliget;28866;nagyközség;731;4527;1601;619,29
Szögliget;16179;község;3474;553;394;15,92
Szõke;22211;község;648;131;54;20,22
Szõkéd;07694;község;958;326;138;34,03
Szõkedencs;05810;község;1869;233;187;12,47
Szõlõsardó;07889;község;1066;108;81;10,13
Szõlõsgyörök;11101;község;1863;1192;492;63,98
Szörény;05528;község;441;77;33;17,46
Szúcs;13523;község;849;387;162;45,58
Szuha;28194;község;1756;535;359;30,47
Szuhafõ;03160;község;1605;145;85;9,03
Szuhakálló;11110;község;696;900;392;129,31
Szuhogy;24606;község;1700;1107;449;65,12
Szulimán;15404;község;1049;223;118;21,26
Szulok;10986;község;2791;656;286;23,50
Szurdokpüspöki;19044;község;2670;1833;890;68,65
Szûcsi;09982;község;1738;1554;658;89,41
Szügy;18786;község;1950;1362;528;69,85
Szûr;11217;község;784;236;117;30,10
Tab;08590;város;2586;4307;1897;166,55
Tabajd;14465;község;2657;948;368;35,68
Tabdi;25432;község;2139;1012;532;47,31
Táborfalva;08332;nagyközség;4205;3232;1492;76,86
Tác;29267;község;4569;1698;612;37,16
Tagyon;17039;község;276;86;43;31,16
Tahitótfalu;31963;község;3917;5696;2091;145,42
Takácsi;13125;község;1913;845;350;44,17
Tákos;29911;község;1082;351;135;32,44
Taksony;30720;nagyközség;2085;6186;2241;296,69
Taktabáj;03708;község;1682;620;216;36,86
Taktaharkány;18245;nagyközség;3913;3561;1322;91,00
Taktakenéz;28787;község;1974;1245;417;63,07
Taktaszada;03133;község;2574;1888;663;73,35
Taliándörögd;17321;község;2808;699;303;24,89
Tállya;12210;község;3796;1792;955;47,21
Tamási;24563;város;11195;8041;3785;71,83
Tanakajd;16212;község;1182;716;270;60,58
Táp;14261;község;1988;742;299;37,32
Tápióbicske;15015;község;4848;3324;1474;68,56
Tápiógyörgye;17303;község;5331;3382;1524;63,44
Tápióság;09405;község;3354;2589;1153;77,19
Tápiószecsõ;31796;nagyközség;3838;6013;2371;156,67
Tápiószele;14146;város;3699;5826;2414;157,50
Tápiószentmárton;14571;nagyközség;10291;5186;2373;50,39
Tápiószõlõs;02769;község;3181;2808;1356;88,27
Táplánszentkereszt;32045;község;2008;2514;859;125,20
Tapolca;29434;város;6346;15232;6934;240,03
Tapsony;24615;község;3161;700;391;22,14
Tápszentmiklós;21971;község;2075;941;345;45,35
Tar;32896;község;2734;1839;859;67,26
Tarany;16735;község;5468;1155;464;21,12
Tarcal;21740;község;5372;2799;1294;52,10
Tard;08165;község;4047;1142;575;28,22
Tardona;14784;község;1230;1000;435;81,30
Tardos;30225;község;2332;1654;700;70,93
Tarhos;33075;község;5745;766;357;13,33
Tarján;18935;község;4307;2614;1075;60,69
Tarjánpuszta;33914;község;844;401;146;47,51
Tárkány;20987;község;6494;1382;600;21,28
Tarnabod;32966;község;1033;657;227;63,60
Tarnalelesz;13240;község;3713;1694;693;45,62
Tarnaméra;23348;község;2826;1641;717;58,07
Tarnaörs;14128;község;3028;1815;747;59,94
Tarnaszentmária;09052;község;1100;240;180;21,82
Tarnaszentmiklós;16160;község;3500;873;419;24,94
Tarnazsadány;17163;község;2519;1223;480;48,55
Tárnok;04154;nagyközség;2361;9427;3417;399,28
Tárnokréti;04172;község;954;166;103;17,40
Tarpa;04312;nagyközség;4973;2562;892;51,52
Tarrós;15635;község;529;107;52;20,23
Táska;13693;község;2598;386;196;14,86
Tass;20525;község;7473;2708;1180;36,24
Taszár;04932;község;1729;1903;809;110,06
Tát;08758;város;1206;5227;2046;433,42
Tata;20127;város;7813;23217;10059;297,16
Tatabánya;18157;megyeszékhely,megyeijogúváros;9142;65849;30701;720,29
Tataháza;14544;község;2610;1176;666;45,06
Tatárszentgyörgy;27386;község;5506;1780;689;32,33
Tázlár;24998;község;7338;1797;860;24,49
Téglás;23214;város;3833;6281;2350;163,87
Tekenye;24703;község;696;407;234;58,48
Tékes;27702;község;1256;243;101;19,35
Teklafalu;32072;község;1676;265;132;15,81
Telekes;29568;község;1081;508;195;46,99
Telekgerendás;12681;község;7237;1376;661;19,01
Teleki;23968;község;805;210;91;26,09
Telki;08280;község;1047;3973;1264;379,47
Telkibánya;13763;község;4682;524;369;11,19
Tengelic;06901;község;7093;2181;1002;30,75
Tengeri;13675;község;446;58;29;13,00
Tengõd;32416;község;3021;404;264;13,37
Tenk;14076;község;1234;1173;471;95,06
Tényõ;11457;község;2638;1637;711;62,05
Tépe;31042;község;2322;1083;409;46,64
Terem;33358;község;4951;671;284;13,55
Terény;04844;község;2435;369;243;15,15
Tereske;24174;község;1703;693;319;40,69
Teresztenye;28635;község;869;34;30;3,91
Terpes;12229;község;220;206;100;93,64
Tés;20570;község;4903;784;419;15,99
Tésa;19248;község;438;85;52;19,41
Tésenfa;32744;község;840;183;81;21,79
Téseny;20978;község;1208;291;110;24,09
Teskánd;08828;község;485;1095;404;225,77
Tét;19035;város;5636;4083;1487;72,44
Tetétlen;19691;község;3211;1410;525;43,91
Tevel;31459;község;2527;1340;567;53,03
Tibolddaróc;30447;község;3031;1320;672;43,55
Tiborszállás;08952;község;2552;977;367;38,28
Tihany;30465;község;2733;1346;703;49,25
Tikos;17844;község;335;121;52;36,12
Tilaj;27951;község;816;170;105;20,83
Timár;24475;község;2182;1268;508;58,11
Tinnye;07108;község;1610;1706;628;105,96
Tiszaadony;09423;község;1563;663;260;42,42
Tiszaalpár;24545;nagyközség;9113;4885;2293;53,60
Tiszabábolna;02291;község;3269;340;270;10,40
Tiszabecs;17817;nagyközség;1714;1455;415;84,89
Tiszabercel;03850;község;3138;1820;744;58,00
Tiszabezdéd;20172;község;1864;1853;665;99,41
Tiszabõ;10773;község;3504;2117;457;60,42
Tiszabura;22770;község;4520;2929;850;64,80
Tiszacsécse;24448;község;480;234;114;48,75
Tiszacsege;15644;város;13640;4693;2095;34,41
Tiszacsermely;29133;község;2028;526;214;25,94
Tiszadada;06433;község;4875;2201;926;45,15
Tiszaderzs;16230;község;2719;1036;632;38,10
Tiszadob;12593;nagyközség;8260;2769;1175;33,52
Tiszadorogma;03717;község;4661;326;247;6,99
Tiszaeszlár;09113;község;5451;2488;1034;45,64
Tiszaföldvár;13815;város;8034;10672;4691;132,84
Tiszafüred;29726;város;16219;10872;5238;67,03
Tiszagyenda;30304;község;3693;958;520;25,94
Tiszagyulaháza;30845;község;2078;698;341;33,59
Tiszaigar;28699;község;3404;812;380;23,85
Tiszainoka;20446;község;1792;384;213;21,43
Tiszajenõ;29346;község;2819;1562;811;55,41
Tiszakanyár;08554;község;1551;1545;539;99,61
Tiszakarád;13976;község;4756;2351;895;49,43
Tiszakécske;30623;város;13327;11844;5347;88,87
Tiszakerecseny;04446;község;2387;969;394;40,59
Tiszakeszi;13888;község;4617;2578;1031;55,84
Tiszakóród;08794;község;1669;800;306;47,93
Tiszakürt;30386;község;2837;1416;755;49,91
Tiszaladány;19381;község;2219;644;326;29,02
Tiszalök;23524;város;5870;5248;2225;89,40
Tiszalúc;28398;nagyközség;4488;4858;1864;108,24
Tiszamogyorós;11907;község;1025;743;263;72,49
Tiszanagyfalu;27252;község;2705;1795;693;66,36
Tiszanána;07083;község;6814;2475;1042;36,32
Tiszaörs;15787;község;3710;1378;673;37,14
Tiszapalkonya;08633;község;1349;1406;626;104,23
Tiszapüspöki;03373;község;3745;1998;850;53,35
Tiszarád;10205;község;923;587;196;63,60
Tiszaroff;20181;község;5249;1535;836;29,24
Tiszasas;21494;község;2879;1015;547;35,26
Tiszasüly;17695;község;9177;1447;755;15,77
Tiszaszalka;13541;község;1495;878;364;58,73
Tiszaszentimre;22789;község;6561;2021;1000;30,80
Tiszaszentmárton;27544;község;1446;1142;395;78,98
Tiszasziget;16966;község;2688;1688;643;62,80
Tiszaszõlõs;07852;község;4779;1618;703;33,86
Tiszatardos;30298;község;893;215;173;24,08
Tiszatarján;30377;község;4039;1436;504;35,55
Tiszatelek;14447;község;3380;1408;547;41,66
Tiszatenyõ;09627;község;2355;1554;675;65,99
Tiszaug;14094;község;2504;929;419;37,10
Tiszaújváros;28352;város;4604;15571;7333;338,21
Tiszavalk;10977;község;1154;301;176;26,08
Tiszavárkony;31866;község;3562;1529;729;42,93
Tiszavasvári;07597;város;12854;12683;4566;98,67
Tiszavid;33747;község;1075;544;189;50,60
Tisztaberek;27261;község;1822;725;231;39,79
Tivadar;20260;község;480;201;92;41,88
Tóalmás;21467;község;3935;3270;1396;83,10
Tófalu;09964;község;1448;547;275;37,78
Tófej;05342;község;1532;677;289;44,19
Tófû;04048;község;434;110;57;25,35
Tokaj;18306;város;2820;4155;1684;147,34
Tokod;14155;nagyközség;1491;3952;1621;265,06
Tokodaltáró;34023;község;527;2817;1064;534,54
Tokorcs;09229;község;640;362;168;56,56
Tolcsva;28051;község;1648;1751;783;106,25
Told;25876;község;1491;295;130;19,79
Tolmács;06381;község;1221;750;340;61,43
Tolna;25274;város;7107;10997;4522;154,73
Tolnanémedi;11031;község;2195;1045;524;47,61
Tomajmonostora;09557;község;1376;746;349;54,22
Tomor;14890;község;1289;243;120;18,85
Tompa;28486;város;8157;4313;1953;52,87
Tompaládony;12335;község;944;292;157;30,93
Tordas;21005;község;1676;2113;687;126,07
Tormafölde;04969;község;1886;333;192;17,66
Tormás;22424;község;2470;266;124;10,77
Tormásliget;34087;község;753;301;133;39,97
Tornabarakony;16902;község;819;10;44;1,22
Tornakápolna;10375;község;402;11;34;2,74
Tornanádaska;18801;község;783;776;131;99,11
Tornaszentandrás;27836;község;1565;157;127;10,03
Tornaszentjakab;30517;község;2822;236;125;8,36
Tornyiszentmiklós;32638;község;1854;550;295;29,67
Tornyosnémeti;29054;község;1406;404;252;28,73
Tornyospálca;16957;község;4361;2795;953;64,09
Torony;29878;község;1283;1971;702;153,62
Torvaj;10153;község;1142;244;145;21,37
Tószeg;07490;község;5917;4331;1794;73,20
Tótkomlós;16434;város;12505;5794;2900;46,33
Tótszentgyörgy;26994;község;750;143;68;19,07
Tótszentmárton;16382;község;1017;785;321;77,19
Tótszerdahely;25113;község;1229;1053;429;85,68
Tótújfalu;16407;község;1327;199;141;15,00
Tótvázsony;02714;község;4251;1332;468;31,33
Tök;24527;község;2473;1342;500;54,27
Tököl;29823;város;3849;10174;4035;264,33
Töltéstava;16674;község;2320;2384;662;102,76
Tömörd;05166;község;1536;293;115;19,08
Tömörkény;25900;község;5391;1706;947;31,65
Törökbálint;06859;város;2940;13536;4774;460,41
Törökkoppány;20093;község;2580;441;228;17,09
Törökszentmiklós;27313;város;18516;20073;9006;108,41
Törtel;22008;község;8416;4295;1888;51,03
Töttös;04136;község;2299;544;258;23,66
Trizs;04914;község;1025;219;110;21,37
Tunyogmatolcs;13213;község;2628;2398;941;91,25
Tura;09593;város;5592;7725;2970;138,14
Túristvándi;13602;község;1522;828;253;54,40
Túrkeve;28228;város;23652;8462;3992;35,78
Túrony;18582;község;940;252;101;26,81
Túrricse;08998;község;1299;693;224;53,35
Tuzsér;09919;nagyközség;1552;3437;1025;221,46
Türje;12609;község;3823;1569;685;41,04
Tüskevár;04631;község;1701;566;269;33,27
Tyukod;31398;nagyközség;6218;1995;919;32,08
Udvar;04437;község;440;104;67;23,64
Udvari;21360;község;1944;313;148;16,10
Ugod;24767;község;6279;1328;582;21,15
Újbarok;17482;község;149;423;181;283,89
Újcsanálos;12487;község;1220;841;332;68,93
Újdombrád;33659;község;1078;786;217;72,91
Újfehértó;26611;város;14088;12520;4815;88,87
Újhartyán;06293;város;2243;2725;1087;121,49
Újiráz;23393;község;1547;504;273;32,58
Újireg;20561;község;1090;284;137;26,06
Újkenéz;10117;község;969;994;373;102,58
Újkér;19673;község;3238;1010;444;31,19
Újkígyós;02352;város;5492;4953;2224;90,19
Újlengyel;19682;község;2625;1703;706;64,88
Újléta;20419;község;3042;1146;428;37,67
Újlõrincfalva;27623;község;4808;195;124;4,06
Újpetre;06062;község;1671;958;382;57,33
Újrónafõ;31839;község;4863;854;322;17,56
Újsolt;08785;község;3298;174;115;5,28
Újszalonta;24350;község;2083;121;71;5,81
Újszász;15291;város;5820;6043;2532;103,83
Újszentiván;14924;község;1549;1931;628;124,66
Újszentmargita;32568;község;9622;1454;642;15,11
Újszilvás;17808;község;3898;2589;1192;66,42
Újtelek;33604;község;956;345;253;36,09
Újtikos;11925;község;3530;836;382;23,68
Újudvar;32197;község;1631;931;372;57,08
Újvárfalva;07205;község;1222;290;133;23,73
Ukk;23010;község;1387;317;171;22,86
Und;20792;község;679;324;148;47,72
Úny;27632;község;1158;681;311;58,81
Uppony;18351;község;1281;243;200;18,97
Ura;28981;község;3234;616;261;19,05
Uraiújfalu;21537;község;1908;843;387;44,18
Úrhida;17622;község;725;2483;874;342,48
Úri;28644;község;2219;2517;979;113,43
Úrkút;20853;község;2013;1973;763;98,01
Uszka;31820;község;735;516;110;70,20
Uszód;16294;község;2446;932;470;38,10
Uzsa;34218;község;1150;298;158;25,91
Üllés;21412;nagyközség;4993;2981;1476;59,70
Üllõ;12894;város;4810;11851;4395;246,38
Üröm;11934;község;666;7361;2680;1105,26
Vác;24934;város;6160;32741;14779;531,51
Vácduka;05917;község;840;1527;500;181,79
Vácegres;30331;község;1367;853;315;62,40
Váchartyán;19886;község;1211;1759;661;145,25
Váckisújfalu;05698;község;1070;434;169;40,56
Vácrátót;17668;község;1809;1888;676;104,37
Vácszentlászló;09104;község;2987;1980;764;66,29
Vadna;07223;község;781;632;233;80,92
Vadosfa;06239;község;419;89;46;21,24
